title,url,release_date,critic_score,audience_score
Love Story,https://www.rottentomatoes.com/m/love_story,"Released Dec 16, 1970",63%,75%
Airport,https://www.rottentomatoes.com/m/airport,"Released Apr 5, 1970",75%,54%
M*A*S*H,https://www.rottentomatoes.com/m/mash,"Released Jan 30, 1970",84%,83%
Patton,https://www.rottentomatoes.com/m/patton,"Released Jan 25, 1970",91%,93%
The Aristocats,https://www.rottentomatoes.com/m/the_aristocats,1970,,
The Aristocats,https://www.rottentomatoes.com/m/aristocats,"Released Dec 24, 1970",64%,70%
Woodstock,https://www.rottentomatoes.com/m/woodstock,"Released Mar 26, 1970",100%,92%
Little Big Man,https://www.rottentomatoes.com/m/little_big_man,"Released Dec 14, 1970",91%,87%
Ryan's Daughter,https://www.rottentomatoes.com/m/ryans_daughter,"Released Nov 9, 1970",47%,73%
Tora! Tora! Tora!,https://www.rottentomatoes.com/m/tora_tora_tora,"Released Sep 23, 1970",55%,81%
Catch-22,https://www.rottentomatoes.com/m/catch22,"Released Jun 24, 1970",81%,76%
Scream and Scream Again,https://www.rottentomatoes.com/m/scream_and_scream_again,1970,63%,28%
Jenny,https://www.rottentomatoes.com/m/jenny,1970,,
... Tick... Tick... Tick...,https://www.rottentomatoes.com/m/tickticktick,1970,,57%
Beyond the Dunwich Horror,https://www.rottentomatoes.com/m/the_dunwich_horror,2008,,8%
The Dunwich Horror,https://www.rottentomatoes.com/m/dunwich_horror,"Released Jan 14, 1970",29%,29%
Days and Nights in the Forest,https://www.rottentomatoes.com/m/days_and_nights_in_the_forest,1970,100%,97%
The Only Game in Town,https://www.rottentomatoes.com/m/the_only_game_in_town,1970,,35%
Rider on the Rain,https://www.rottentomatoes.com/m/rider_on_the_rain,1970,80%,63%
M*A*S*H,https://www.rottentomatoes.com/m/mash,"Released Jan 30, 1970",84%,83%
The Molly Maguires,https://www.rottentomatoes.com/m/molly_maguires,"Released Feb 8, 1970",90%,62%
